query_id,query_file_name,matched_audio_id,matched_file_name,matched_file_path_in_db,matched_file_path_in_data_all,instrument_name,rank_position,similarity_score,distance_score,copied_wav_dir
5,test03.wav,1128,harp_03.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\dataset\harp\harp_03.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\harp_03.wav,harp,1,0.9999875940149888,1.2406138921505772e-05,D:\Code\test\CSDLDPT\csdldpt_string_instrument\results\top5_wav\test03
5,test03.wav,1143,harp_18.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\dataset\harp\harp_18.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\harp_18.wav,harp,2,0.1882299383822751,4.31265115737915,D:\Code\test\CSDLDPT\csdldpt_string_instrument\results\top5_wav\test03
5,test03.wav,1126,harp_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\dataset\harp\harp_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\harp_01.wav,harp,3,0.15320621961940695,5.5271501541137695,D:\Code\test\CSDLDPT\csdldpt_string_instrument\results\top5_wav\test03
5,test03.wav,1127,harp_02.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\dataset\harp\harp_02.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\harp_02.wav,harp,4,0.1492801792997637,5.698812961578369,D:\Code\test\CSDLDPT\csdldpt_string_instrument\results\top5_wav\test03
5,test03.wav,993,dannguyet_20.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\dataset\dannguyet\dannguyet_20.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\dannguyet_20.wav,dannguyet,5,0.1375934659059968,6.267786979675293,D:\Code\test\CSDLDPT\csdldpt_string_instrument\results\top5_wav\test03
