audio_id,file_name,file_path,duration_seconds,sample_rate,channels,file_size_bytes,bit_depth,file_format,frame_index,start_time,end_time,rms_energy,zero_crossing_rate,average_frequency,frequency_variation,average_pitch,pitch_variation
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,0,0.0,0.5,0.10065648704767227,0.06494331065759637,1479.4285578451993,0.2787986993789673,704.0,0.0
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,1,0.24997732426303854,0.7499773242630385,0.12485142052173615,0.06820861678004535,1328.4169957859187,0.39133337140083313,704.0,0.0
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,2,0.4999546485260771,0.9999546485260771,0.13642974197864532,0.07065759637188208,1467.7486630226522,0.320492684841156,702.0,0.0
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,3,0.7499319727891156,1.2499319727891156,0.17544296383857727,0.0728344671201814,1202.3607792458115,0.616898775100708,704.0,15.340909374003507
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,4,0.9999092970521541,1.4999092970521541,0.18373194336891174,0.08235827664399092,1349.0528583799346,0.6466087102890015,784.0,28.63636437240912
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,5,1.2498866213151927,1.7498866213151927,0.1273820400238037,0.08934240362811792,1343.7490048033455,0.6248491406440735,784.0,33.75000124561544
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,6,1.4998639455782312,1.9998639455782312,0.11871245503425598,0.08789115646258504,1505.0791355388615,0.3511365056037903,710.0,24.545456244021047
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,7,1.7498412698412698,2.2498412698412698,0.17997273802757263,0.07646258503401361,1653.5624768759108,0.49380531907081604,700.0,6.136363749601403
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,8,1.9998185941043083,2.4998185941043083,0.22493793070316315,0.07265306122448979,1485.1720369012444,0.5880290865898132,704.0,9.204546870017538
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,9,2.249795918367347,2.749795918367347,0.19378390908241272,0.08843537414965986,1480.8536574416373,0.3181394338607788,1178.0,11.250001245615433
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,10,2.4997732426303854,2.9997732426303854,0.2430272400379181,0.08526077097505669,1344.6043082669892,0.6300503611564636,784.0,73.63636219258211
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,11,2.749750566893424,3.249750566893424,0.2713716924190521,0.055419501133786846,1245.4677546248126,0.6983268857002258,440.0,49.09090781698421
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,12,2.9997278911564624,3.4997278911564624,0.22161072492599487,0.044535147392290246,1247.4399285785141,0.5060322880744934,442.0,3.068181563396843
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,13,3.249705215419501,3.749705215419501,0.24715973436832428,0.06857142857142857,1250.0338623560444,0.5184234976768494,526.0,3.068181563396843
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,14,3.4996825396825395,3.9996825396825395,0.22329722344875336,0.08253968253968254,1333.4696772175216,0.4897337853908539,528.0,22.5
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,15,3.749659863945578,4.2496598639455785,0.22162868082523346,0.07473922902494332,1519.5260839159914,0.8858048319816589,518.0,47.04545499840561
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,16,3.9996371882086166,4.499637188208617,0.2447776049375534,0.07591836734693877,1538.9860227866727,0.6300693154335022,530.0,24.545454998405614
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,17,4.249614512471656,4.749614512471656,0.2751815915107727,0.07591836734693877,1236.153902617369,0.6708678603172302,528.0,1.0227274992028061
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,18,4.499591836734694,4.999591836734694,0.4038555920124054,0.06312925170068028,1167.3298891293048,0.7693070769309998,590.0,1.0227274992028061
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,19,4.749569160997733,5.249569160997733,0.40633073449134827,0.05433106575963719,1157.453102175584,0.8976786136627197,596.0,13.295454998405612
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,20,4.999546485260771,5.499546485260771,0.2371673732995987,0.05142857142857143,1216.1859692818598,0.31495776772499084,528.0,13.295454998405612
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,21,5.24952380952381,5.74952380952381,0.08600176870822906,0.05333333333333334,1592.5521120009807,0.18457995355129242,528.0,0.0
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,22,5.499501133786848,5.999501133786848,0.14037293195724487,0.06312925170068028,1677.828336516015,0.5272976160049438,534.0,0.0
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,23,5.749478458049887,6.249478458049887,0.19671878218650818,0.07165532879818594,1538.9629191651345,0.752752423286438,520.0,0.0
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,24,5.999455782312925,6.499455782312925,0.2627101540565491,0.06167800453514739,1378.5672478442896,0.5707878470420837,524.0,0.0
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,25,6.249433106575964,6.749433106575964,0.2341417521238327,0.05705215419501134,1297.6996358124784,0.5403788685798645,526.0,11.25
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,26,6.499410430839002,6.999410430839002,0.22521618008613586,0.0599546485260771,1354.6524907681319,0.2888454794883728,588.0,11.25
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,27,6.749387755102041,7.249387755102041,0.29173198342323303,0.053877551020408164,1190.3917550620079,0.622856080532074,594.0,0.0
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,28,6.999365079365079,7.499365079365079,0.30336496233940125,0.055328798185941046,1199.6016732654987,0.5192686915397644,592.0,12.272727499202807
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,29,7.249342403628118,7.749342403628118,0.288017600774765,0.055056689342403625,1081.3638207567114,0.4966129958629608,592.0,12.272727499202807
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,30,7.499319727891156,7.999319727891156,0.2887633144855499,0.05895691609977324,1136.8137567258852,0.6071199178695679,592.0,1.0227268763950892
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,31,7.749297052154195,8.249297052154194,0.23518425226211548,0.07428571428571429,1167.7065528470766,0.3391181528568268,592.0,1.0227268763950892
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,32,7.999274376417233,8.499274376417233,0.15491445362567902,0.0709297052154195,1358.1486814638095,0.40991371870040894,710.0,3.068180629185268
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,33,8.249251700680272,8.749251700680272,0.1562095582485199,0.05687074829931973,1230.912471043857,0.3731021285057068,586.0,3.068180629185268
1,DanNhi_01.wav,D:\Code\test\CSDLDPT\csdldpt_string_instrument\data\data_all\DanNhi_01.wav,10.0,22050,1,441078,16,wav,34,8.499229024943311,8.999229024943311,0.14158520102500916,0.05514739229024943,1291.9567854810489,0.33011242747306824,600.0,0.0
